320,996.344896
315,996.456927
305,996.692014
300,996.815438
295,996.943047
290,997.075058
285,997.211704
280,997.353233
275,997.49991
270,997.652023
265,997.809878
260,997.973808
255,998.144171
250,998.321351
245,998.505767
240,998.697872
235,998.898156
230,999.107154
225,999.325445
220,999.553666
215,999.792507
210,1000.04273
205,1000.305167
200,1000.580734
195,1000.870443
190,1001.175411
185,1001.496875
180,1001.836212
175,1002.194955
170,1002.574818
165,1002.977721
160,1003.405827
155,1003.861577
150,1004.347738
145,1004.867458
140,1005.424338
135,1006.022509
130,1006.666741
125,1007.362567
120,1008.116445
115,1008.935954
110,1009.830056
105,1010.80942
100,1011.886852
99,1012.115416
98,1012.348651
97,1012.586702
96,1012.829719
95,1013.077859
94,1013.331287
93,1013.590172
92,1013.854694
91,1014.125038
90,1014.401399
89,1014.683979
88,1014.972992
87,1015.268659
86,1015.571212
85,1015.880896
84,1016.197965
83,1016.522686
82,1016.855341
81,1017.196223
80,1017.545641
79,1017.90392
78,1018.271402
77,1018.648445
76,1019.035428
75,1019.432749
74,1019.840828
73,1020.260108
72,1020.691056
71,1021.134167
70,1021.589962
69,1022.058994
68,1022.541848
67,1023.039144
66,1023.551541
65,1024.079736
64,1024.624472
63,1025.186538
62,1025.766774
61,1026.366076
60,1026.985399
59,1027.625763
58,1028.28826
57,1028.974056
56,1029.684404
55,1030.420645
54,1031.184221
53,1031.976684
52,1032.799704
51,1033.655083
50,1034.544768
49,1035.470866
48,1036.435657
47,1037.441619
46,1038.491444
45,1039.588066
44,1040.734683
43,1041.934796
42,1043.192236
41,1044.511212
40,1045.896354
39,1047.352768
38,1048.886101
37,1050.50261
36,1052.209253
35,1054.013783
34,1055.92487
33,1057.952239
32,1060.106834
31,1062.401019
30,1064.848812
29,1067.466173
28,1070.271352
27,1073.285316
26,1076.532273
25,1080.040321
24,1083.842267
23,1087.976653
22,1092.489069
21,1097.433836
20,1102.876205
19.5,1105.808063
19,1108.895249
18.5,1112.15044
18,1115.58773
17.5,1119.222834
17,1123.073331
16.5,1127.158942
16,1131.501874
15.5,1136.127217
15,1141.063435
14.5,1146.342946
14,1152.002836
13.5,1158.085732
13,1164.640871
12.5,1171.72544
12,1179.406237
11.5,1187.761788
11,1196.885031
10.5,1206.886777
10,1217.900226
9.75,1223.835512
9.5,1230.086913
9.25,1236.680352
9,1243.644658
8.75,1251.011994
8.5,1258.818347
8.25,1267.104114
8,1275.914798
7.75,1285.301842
7.5,1295.323628
7.25,1306.046682
7,1317.547152
6.75,1329.9126
6.5,1343.244225
6.25,1357.659618
6,1373.296212
5.75,1390.315642
5.5,1408.909301
5.25,1429.305495
5,1451.778765
4.9,1461.421947
4.8,1471.474327
4.7,1481.962412
4.6,1492.915041
4.5,1504.363645
4.4,1516.342542
4.3,1528.889277
4.2,1542.045005
4.1,1555.854938
4,1570.368851
3.9,1585.641669
3.8,1601.734149
3.7,1618.713671
3.6,1636.655153
3.5,1655.642135
3.4,1675.76804
3.3,1697.137672
3.2,1719.868984
3.1,1744.095192
3,1769.967291
2.9,1797.6571
2.8,1827.360925
2.7,1859.304035
2.6,1893.746119
2.5,1930.988025
2.4,1971.3801
2.3,2015.332617
2.2,2063.328879
2.1,2115.941838
2,2173.855338
1.9,2237.891483
1.8,2309.046243
1.7,2388.536143
1.6,2477.860078
1.5,2578.881824
1.4,2693.941062
1.3,2826.003656
1.2,2978.865689
1.1,3157.429712
1,3368.073698
0.975,3426.672543
0.95,3487.937214
0.925,3552.030661
0.9,3619.126845
0.875,3689.411309
0.85,3763.081704
0.825,3840.348245
0.8,3921.434068
0.775,4006.575432
0.75,4096.021719
0.725,4190.035162
0.7,4288.890214
0.675,4392.872455
0.65,4502.276925
0.625,4617.405724
0.6,4738.564749
0.575,4866.059356
0.55,5000.188805
0.525,5141.239266
0.5,5289.475265
0.4831,5766.465386
0.4334,6476.532429
0.3929,7233.268068
0.3595,8029.578494
0.3184,9317.375853
0.2867,10642.20517
0.2522,12560.27633
0.22,14983.0736
0.1859,18476.41179
0.1575,22279.24717
0.1247,27440.72484
0.1121,29429.80205
0.1008,31118.41475
0.0944,32018.64048
0.0868,33027.20532
0.0805,33811.0763
0.0739,34581.0323
0.0636,35680.38504
0.0568,36341.25363
0.0512,36849.23357
0.0464,37260.08844
0.0425,37578.09645
0.0383,37905.50777
0.0352,38137.60398
0.0324,38340.54907
0.0291,38571.8982
0.0246,38874.32632
0.0224,39016.93688
